Año;Nombre;Direccion;Barrio;Comuna;Clasificación;Declaratoria plan de ordenamiento territorial;Fecha creación;Técnica y material;Estado integridad;Estado conservación;Tipología;Elementos;Ficha de inventario;Observaciones
2020;Los Poetas;Carrera 3 con Calles 12 y 13;San Pedro;3;Monumento;Si;1/01/1994;Resina y Fibra de Vidrio;Completo;Bueno;Grupo Escultórico;Desconocido;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-33.pdf;Sin observación
2020;Eloy Alfaro;Carrera 10 con Calle 23;Obrero;9;Estatua;Si;25/07/1937;Bronce Fundido;Completo;Bueno;Busto;Pedestal en Cemento y Granito. Placa;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-34.pdf;Sin observación
2020;Bernardo O'higgins;Avenida 5N Calle 23N;San Vicente;2;Estatua;Si;24/09/1981;Concreto;Completo;Bueno;Busto;Pedestal;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-35.pdf;Sin observación
2020;Ciudades Confederadas;Calle 13 Carrera 1;Granada;2;Monumento;Si;1/01/1950;Desconocido;Completo;Bueno;Placa En Altorrelieve Incrustada en Pedestal de Cemento o Mármol;Placas de soporte;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-36.pdf;Sin observación
2020;Rafael Uribe Uribe;Carrera 1 con Calle 13;Granada;2;Estatua;Si;10/02/1924;Resina Porcelanizada Fragmentado;Completo;Bueno;Busto;Pedestal Mármol y Cemento;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-37.pdf;Sin observación
2020;Simón Bolívar (1916);Avenida 2N 10 – 70;Centenario - Granada;2;Estatua;Si;1/01/1922;Mármol;Completo;Bueno;Escultura Pedestre de Bulto Redondo. Copia de Original;Pedestal con Relieve Fundidos en Bronce;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-38.pdf;Sin observación
2020;Ignacio de Herrera y Vergara;Carrera 5A Calle 19;San Nicolás;3;Estatua;Si;20/07/1927;Bronce Fundido;Completo;Bueno;Escultura Pedrestre de Bulto Redondo;Pedestal en Cemento con Hornacinas a los Costados. Placa;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-39.pdf;Sin observación
2020;Joaquín de Caicedo y Cuero;Carreras 4 y 5 entre Calles 11 y 12;San Pedro;3;Estatua;Si;26/01/1916;Bronce Fundido a la Cera Perdida;Completo;Bueno;Escultura Pedestre de Bulto Redondo;Pedestal en Cemento y Mármol. Placa con Inscripción;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-40.pdf;Sin observación
2020;Fray Damián González;Calle 9 con Carrera 6;San Pedro;3;Estatua;Si;22/07/1910;Bronce Fundido;Completo;Bueno;Escultura de Bulto Redondo;Pedestal en Cemento y Ladrillo. Placa;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-41.pdf;Sin observación
2020;Homenaje a la India Elena;Transversal 13 Calle 14;Santa Elena;10;Monumento;Si;1/01/1979;Modelado En Ferro Concreto;Completo;Bueno;Esculturas de Bulto Redondo;Pedestal;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-42.pdf;Sin observación
