Año;Nombre;Direccion;Barrio;Comuna;Clasificación;Declaratoria plan de ordenamiento territorial;Fecha creación;Técnica y material;Estado integridad;Estado conservación;Tipología;Elementos;Ficha de inventario;Observaciones
2021;Simón Bolívar;Carrera 17 Transversal 29;Simón Bolívar;8;Estatua;Si;30/01/1981;Concreto;Completo;Regular;Busto;Pedestal y Placa;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-27.pdf;Sin observación
2021;José Manuel Saavedra Galindo (Barrio);Transversal 31 con Carrera 17;Saavedra Galindo;8;Estatua;Si;20/10/1979;Concreto Armado;Regular;Regular;Busto;Pedestal;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-28.pdf;Sin observación
2021;Jorge Eliecer Gaitán;Carrera 1D Calle 72;Jorge Eliecer Gaitán;6;Estatua;Si;1/01/1983;Bronce Fundido;Completo;Bueno;Escultura Pedestre de Bulto Redondo;Pedestal en Cemento y Granito. Placa;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-29.pdf;Sin observación
2021;Isaías Gamboa;Carrera 4 Calle 1 Oeste;El Peñón;3;Estatua;Si;26/12/1928;Mármol Tallado ;Completo;Bueno;Busto;Pedestal con Escultura de Bulto Redondo Adosada en Cara Frontal;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-30.pdf;Sin observación
2021;20 Aniversario de la Fundación Barrio Municipal;Carrera 14F Calles 32 y 33A;La Floresta;8;Monumento;Si;1/01/1969;Concreto;Completo;Bueno;Placa;Pedestal;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-31.pdf;Sin observación
2021;José Manuel Saavedra Galindo;Calle 7 con Carrera 23;Alameda;9;Estatua;Si;12/10/1936;Bronce Fundido;Completo;Bueno;Busto;Pedestal;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-32.pdf;Sin observación
2021;Los Poetas;Carrera 3 con Calles 12 y 13;San Pedro;3;Monumento;Si;1/01/1994;Resina y Fibra de Vidrio;Completo;Bueno;Grupo Escultórico;Desconocido;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-33.pdf;Sin observación
2021;Eloy Alfaro;Carrera 10 con Calle 23;Obrero;9;Estatua;Si;25/07/1937;Bronce Fundido;Completo;Bueno;Busto;Pedestal en Cemento y Granito. Placa;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-34.pdf;Sin observación
2021;Bernardo O'higgins;Avenida 5N Calle 23N;San Vicente;2;Estatua;Si;24/09/1981;Concreto;Completo;Bueno;Busto;Pedestal;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-35.pdf;Sin observación
2021;Ciudades Confederadas;Calle 13 Carrera 1;Granada;2;Monumento;Si;1/01/1950;Desconocido;Completo;Bueno;Placa En Altorrelieve Incrustada en Pedestal de Cemento o Mármol;Placas de soporte;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-36.pdf;Sin observación
2021;Rafael Uribe Uribe;Carrera 1 con Calle 13;Granada;2;Estatua;Si;10/02/1924;Resina Porcelanizada Fragmentado;Completo;Bueno;Busto;Pedestal Mármol y Cemento;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-37.pdf;Sin observación
2021;Simón Bolívar (1916);Avenida 2N 10 – 70;Centenario - Granada;2;Estatua;Si;1/01/1922;Mármol;Completo;Bueno;Escultura Pedestre de Bulto Redondo. Copia de Original;Pedestal con Relieve Fundidos en Bronce;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-38.pdf;Sin observación
2021;Ignacio de Herrera y Vergara;Carrera 5A Calle 19;San Nicolás;3;Estatua;Si;20/07/1927;Bronce Fundido;Completo;Bueno;Escultura Pedestre de Bulto Redondo;Pedestal en Cemento con Hornacinas a los Costados. Placa;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-39.pdf;Sin observación
2021;Joaquín de Caicedo y Cuero;Carreras 4 y 5 entre Calles 11 y 12;San Pedro;3;Estatua;Si;26/01/1916;Bronce Fundido a la Cera Perdida;Completo;Bueno;Escultura Pedestre de Bulto Redondo;Pedestal en Cemento y Mármol. Placa con Inscripción;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-40.pdf;Sin observación
2021;Fray Damián González;Calle 9 con Carrera 6;San Pedro;3;Estatua;Si;22/07/1910;Bronce Fundido;Completo;Bueno;Escultura de Bulto Redondo;Pedestal en Cemento y Ladrillo. Placa;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-41.pdf;Sin observación
2021;Homenaje a la India Elena;Transversal 13 Calle 14;Santa Elena;10;Monumento;Si;1/01/1979;Modelado En Ferro Concreto;Completo;Bueno;Esculturas de Bulto Redondo;Pedestal;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-42.pdf;Sin observación
2021;Monumento al Ferrocarril;Calle 25N frente a la Estación;Prados del Norte;2;Monumento;Si;1/01/9999;Locomotora a Vapor Tradicional  con Pequeño Vagón Carbonero;Incompleto;Malo;Maquina Construida en Philadelfia (Usa);Desconocido;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-43.pdf;Fecha de creación desconocida
2021;Los Periodistas;Avenida 2N 10 – 70;Centenario;2;Monumento;Si;9/02/1989;Concreto Enchapada en Grano Lavado y Placas de Mármol Negro;Completo;Bueno;Obelisco;Base en Cemento;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-44.pdf;Sin observación
2021;Jorge Herrera Barona;Carrera 36 con Calle 5B3;San Fernando Nuevo;19;Estatua;No;25/07/2013;Bronce Fundido;Completo;Regular;Busto;Pedestal;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-45.pdf;Sin observación
2021;Piper Pimienta;Carrera 10 con Calle 22A;Obrero;9;Estatua;No;1/01/2014;Resina de Poliéster y Fibra de Vidrio  Alma de Acero y Apliques en Bronce;Completo;Bueno;Desconocida;Desconocido;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-46.pdf;Sin observación
2021;Petronio Álvarez;Calle 9 con Carrera 37A;Eucarístico;19;Estatua;No;13/08/2014;Arcilla y Fundición en Fibra de Vidrio y Resina de Poliéster;Completo;Bueno;Busto;Pedestal en Concreto y Placa Adosada;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-47.pdf;Sin observación
2021;Alexander Petion;Carrera 1 con Calle 10;San Pedro;3;Estatua;No;15/09/2013;Resina y Fibra de Vidrio;Completo;Bueno;Busto;Pedestal;http://idesc.cali.gov.co/download/cultura/pbic/BM-ESP-EM-48.pdf;Sin observación
